강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 태백
기간 : 20200120~20210331

날짜,지점,강수량(mm)
2020-09-19,216,0
2020-09-20,216,
2020-09-21,216,
2020-09-22,216,0
2020-09-23,216,1.8
2020-09-24,216,6
2020-09-25,216,38.6
2020-09-26,216,21
2020-09-27,216,1.3
2020-09-28,216,
2020-09-29,216,
2020-09-30,216,0
2020-10-01,216,0
2020-10-02,216,0
2020-10-03,216,1.4
2020-10-04,216,0
2020-10-05,216,
2020-10-06,216,
2020-10-07,216,0
2020-10-08,216,
2020-10-09,216,
2020-10-10,216,
2020-10-11,216,0
2020-10-12,216,
2020-10-13,216,
2020-10-14,216,0.1
2020-10-15,216,
2020-10-16,216,
2020-10-17,216,
2020-10-18,216,
2020-10-19,216,
2020-10-20,216,
2020-10-21,216,
2020-10-22,216,
2020-10-23,216,
2020-10-24,216,
2020-10-25,216,
2020-10-26,216,
2020-10-27,216,
2020-10-28,216,
2020-10-29,216,
2020-10-30,216,
2020-10-31,216,0
2020-11-01,216,0
2020-11-02,216,
2020-11-03,216,0
2020-11-04,216,
2020-11-05,216,
2020-11-06,216,
2020-11-07,216,
2020-11-08,216,
2020-11-09,216,
2020-11-10,216,
2020-11-11,216,
2020-11-12,216,
2020-11-13,216,
2020-11-14,216,
2020-11-15,216,
2020-11-16,216,0
2020-11-17,216,0.5
2020-11-18,216,0.4
2020-11-19,216,31.5
2020-11-20,216,
2020-11-21,216,
2020-11-22,216,0.6
2020-11-23,216,
2020-11-24,216,
2020-11-25,216,
2020-11-26,216,
2020-11-27,216,
2020-11-28,216,
2020-11-29,216,
2020-11-30,216,
2020-12-01,216,
2020-12-02,216,
2020-12-03,216,
2020-12-04,216,
2020-12-05,216,
2020-12-06,216,
2020-12-07,216,
2020-12-08,216,
2020-12-09,216,
2020-12-10,216,
2020-12-11,216,
2020-12-12,216,
2020-12-13,216,3.8
2020-12-14,216,
2020-12-15,216,
2020-12-16,216,
2020-12-17,216,
2020-12-18,216,0
2020-12-19,216,
2020-12-20,216,
2020-12-21,216,
2020-12-22,216,0
2020-12-23,216,
2020-12-24,216,0
2020-12-25,216,
2020-12-26,216,
2020-12-27,216,
2020-12-28,216,
2020-12-29,216,0
2020-12-30,216,0
2020-12-31,216,
2021-01-01,216,0
2021-01-02,216,0
2021-01-03,216,
2021-01-04,216,
2021-01-05,216,0
2021-01-06,216,0
2021-01-07,216,1
2021-01-08,216,
2021-01-09,216,
2021-01-10,216,
2021-01-11,216,
2021-01-12,216,0
2021-01-13,216,0
2021-01-14,216,
2021-01-15,216,0
2021-01-16,216,
2021-01-17,216,0
2021-01-18,216,1
2021-01-19,216,
2021-01-20,216,
2021-01-21,216,0
2021-01-22,216,0
2021-01-23,216,0.7
2021-01-24,216,1.4
2021-01-25,216,
2021-01-26,216,0
2021-01-27,216,
2021-01-28,216,1.5
2021-01-29,216,
2021-01-30,216,0
2021-01-31,216,
2021-02-01,216,1.4
2021-02-02,216,
2021-02-03,216,0.1
2021-02-04,216,0
2021-02-05,216,
2021-02-06,216,
2021-02-07,216,0
2021-02-08,216,
2021-02-09,216,
2021-02-10,216,
2021-02-11,216,
2021-02-12,216,
2021-02-13,216,
2021-02-14,216,0
2021-02-15,216,0
2021-02-16,216,0
2021-02-17,216,
2021-02-18,216,
2021-02-19,216,
2021-02-20,216,
2021-02-21,216,
2021-02-22,216,
2021-02-23,216,
2021-02-24,216,
2021-02-25,216,
2021-02-26,216,0
2021-02-27,216,0.5
2021-02-28,216,0
2021-03-01,216,59.7
2021-03-02,216,3.9
2021-03-03,216,
2021-03-04,216,0
2021-03-05,216,
2021-03-06,216,0
2021-03-07,216,
2021-03-08,216,
2021-03-09,216,
2021-03-10,216,
2021-03-11,216,
2021-03-12,216,8.5
2021-03-13,216,
2021-03-14,216,
2021-03-15,216,
2021-03-16,216,0.2
2021-03-17,216,
2021-03-18,216,
2021-03-19,216,
2021-03-20,216,1.2
2021-03-21,216,0.1
2021-03-22,216,
2021-03-23,216,
2021-03-24,216,
2021-03-25,216,
2021-03-26,216,
2021-03-27,216,24.4
2021-03-28,216,1.3
2021-03-29,216,
2021-03-30,216,
2021-03-31,216,
